Timestamp;PM10 30-sec;PM2.5 30-sec
2022-03-24 22:13:37;21.70499992;14.30499554
2022-03-24 22:14:37;21.74666786;
2022-03-24 22:15:52;23.00999832;13.92666721
2022-03-24 22:16:52;21.02667046;
2022-03-24 22:18:07;22.53499794;13.76833534
2022-03-24 22:19:07;23.20333099;
2022-03-24 22:20:22;20.98666382;13.54499722
2022-03-24 22:21:22;22.16166306;
2022-03-24 22:22:37;20.60666466;12.69666195
2022-03-24 22:23:37;19.42833328;
2022-03-24 22:24:52;21.38500404;12.88333321
2022-03-24 22:25:52;20.95833588;
2022-03-24 22:27:07;19.71500206;12.625
2022-03-24 22:28:07;20.19333458;
2022-03-24 22:29:22;19.17666245;12.21500015
2022-03-24 22:30:22;19.64166832;
2022-03-24 22:31:37;18.93499947;11.75166798
2022-03-24 22:32:37;18.61000252;
2022-03-24 22:33:52;19.05500031;11.60666847
2022-03-24 22:34:52;19.46833229;
2022-03-24 22:36:07;18.71666527;11.25166798
2022-03-24 22:37:07;17.95999718;
2022-03-24 22:38:22;17.62333298;10.6566658
2022-03-24 22:39:22;17.13666725;
2022-03-24 22:40:37;17.93166733;11.02833366
2022-03-24 22:41:37;19.25833321;
2022-03-24 22:42:52;19.49333382;10.41833401
2022-03-24 22:43:52;19.18999863;
2022-03-24 22:45:07;17.58166885;10.47666454
2022-03-24 22:46:07;17.65666771;
2022-03-24 22:47:22;17.27499771;9.9566679
2022-03-24 22:48:22;17.89499664;
2022-03-24 22:49:37;16.52666473;9.498334885
2022-03-24 22:50:37;16.77666664;
2022-03-24 22:51:52;16.3433342;9.433333397
2022-03-24 22:52:52;16.24167061;
2022-03-24 22:53:52;18.68166542;
2022-03-24 22:54:07;;10.03166485
2022-03-24 22:55:07;17.57666588;
2022-03-24 22:56:07;17.80833626;9.714998245
2022-03-24 22:57:22;16.26166725;
2022-03-24 22:58:22;16.83833504;9.289999008
2022-03-24 22:59:37;16.5616684;
2022-03-24 23:00:37;15.04166794;9.166667938
2022-03-24 23:01:52;15.25666523;
2022-03-24 23:02:52;15.45999622;8.988331795
2022-03-24 23:04:07;15.57333374;
2022-03-24 23:05:07;14.60666847;9.094999313
2022-03-24 23:06:22;15.20666599;
2022-03-24 23:07:22;15.00833321;8.841668129
2022-03-24 23:08:37;14.51499939;
2022-03-24 23:09:37;16.11000252;8.779999733
2022-03-24 23:10:52;15.79499912;
2022-03-24 23:11:52;13.65833187;8.300000191
2022-03-24 23:13:07;13.72499943;
2022-03-24 23:14:07;14.82666492;8.52500248
2022-03-24 23:15:22;13.62166786;
2022-03-24 23:16:22;13.45333672;7.918332577
2022-03-24 23:17:37;13.53999901;
2022-03-24 23:18:37;14.55333233;7.890001297
2022-03-24 23:19:52;13.25666714;
2022-03-24 23:20:52;13.49333382;7.831666946
2022-03-24 23:22:07;13.30333328;
2022-03-24 23:23:07;12.5433321;7.688334465
2022-03-24 23:24:22;12.82333374;
2022-03-24 23:25:22;12.51666641;7.261665344
2022-03-24 23:26:37;11.625;
2022-03-24 23:27:37;12.49833584;7.158333778
2022-03-24 23:28:52;12.2266674;
2022-03-24 23:29:52;12.44833279;7.244997025
2022-03-24 23:31:07;14.57333279;
2022-03-24 23:32:07;13.6683321;7.229998112
2022-03-24 23:33:22;12.66166782;
2022-03-24 23:34:22;12.74000072;7.253333569
2022-03-24 23:35:37;13.64333248;
2022-03-24 23:36:37;13.4849987;7.388334751
2022-03-24 23:37:52;13.09500122;
2022-03-24 23:38:52;12.18333435;7.373335361
2022-03-24 23:40:07;12.06333256;
2022-03-24 23:41:07;13.01666355;7.281667233
2022-03-24 23:42:22;12.42166615;
2022-03-24 23:43:22;11.67333126;6.968333244
2022-03-24 23:44:37;12.01000309;
2022-03-24 23:45:37;11.91499996;7.180003166
2022-03-24 23:46:52;11.29166794;
2022-03-24 23:47:52;10.9149971;6.96166563
2022-03-24 23:49:07;13.43166828;
2022-03-24 23:50:07;11.3000021;6.826666355
2022-03-24 23:51:22;11.25833225;
2022-03-24 23:52:22;10.61499977;6.963331699
2022-03-24 23:53:37;10.65999985;
2022-03-24 23:54:37;10.82999992;6.583331585
2022-03-24 23:55:52;10.34666824;
2022-03-24 23:56:52;11.48166752;6.671665668
2022-03-24 23:58:07;11.09000111;
2022-03-24 23:59:07;10.23500061;6.488332748
2022-03-25 00:00:22;10.4066658;
2022-03-25 00:01:22;11.55499935;6.321665287
2022-03-25 00:02:37;10.95000076;
2022-03-25 00:03:37;12.05499744;6.209999561
2022-03-25 00:04:52;10.34333134;
2022-03-25 00:05:52;10.30333328;6.230000496
2022-03-25 00:07:07;11.12833309;
2022-03-25 00:08:07;11.83999825;6.079998493
2022-03-25 00:09:22;11.28333378;
2022-03-25 00:10:22;9.978333473;5.96833086
2022-03-25 00:11:37;10.52666664;
2022-03-25 00:12:37;11.37166405;6.135001183
